ID	Disease Name	MeSH Scope Note
D000069281	Autoimmune Hypophysitis	Immune-mediated inflammation of the PITUITARY GLAND often associated with other autoimmune diseases (e.g., HASHIMOTO DISEASE; GRAVES DISEASE; and ADDISON DISEASE).
D000069282	Canaliculitis	Inflammation and infection of the lacrimal canaliculus area in the LACRIMAL APPARATUS.
D000069290	Incisional Hernia	Protrusion of tissue at or near the site of an incision from a previous surgery.
D000069293	Plasmablastic Lymphoma	Malignant lymphoma composed of large B lymphoid cells which have the immunophenotype of plasma cells and a predilection for the ORAL CAVITY.
D000069295	Mammary Analogue Secretory Carcinoma	A malignant neoplasm of epithelial cells of the SALIVARY GLANDS, with microcystic architecture, low-grade nuclei, and granular vacuolated cytoplasm.
D000069316	Acne Conglobata	Severe and chronic form of acne characterized by large, burrowing abscesses associated with disfigurement.
D000069337	Fused Kidney	Congenital fusion of two kidneys.
D000069451	Long Term Adverse Effects	Persistent detrimental effects from treatment for a condition. Included are effects from surgery such as POSTOPERATIVE COMPLICATIONS, and from DRUG THERAPY, such as CHEMICALLY INDUCED DISORDERS, or other THERAPEUTICS. Failure to attain a desired outcome from treatment for the condition is not considered an adverse effect.
D000069544	Infectious Encephalitis	Brain inflammation caused by an infectious agent.
D000069578	Waterborne Diseases	Illnesses due to micro-organisms and chemicals in drinking water, those caused by organisms having part of their lifecycle in water or those with water-related vectors, and others spread by aerosols containing pathogens.
D000069584	Unilateral Breast Neoplasms	Tumors or cancer found specifically in one human BREAST, but not in both.
D000069836	Degloving Injuries	Avulsions of the superficial tissues of SKIN and SUBCUTANEOUS TISSUE from the underlying FASCIA.
D000069856	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.
D000070558	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.
D000070589	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.
D000070591	Metatarsal Valgus	A foot anomaly in which the forefoot is angled outward relative to the hindfoot.
D000070592	Metatarsus Varus	A foot anomaly in which the forefoot (METATARSUS) is angled inward relative to the heel.
D000070598	Anterior Cruciate Ligament Injuries	Sprain or tear injuries to the ANTERIOR CRUCIATE LIGAMENT of the knee.
D000070599	Shoulder Injuries	Injuries involving the SHOULDERS and SHOULDER JOINT.
D000070600	Tibial Meniscus Injuries	Injuries to the TIBIAL MENISCUS of the leg.
D000070603	Coxa Magna	Deformity of the hip characterized by enlargement and deformation of the FEMUR HEAD and FEMUR NECK, often with associated changes in the ACETABULUM. These changes may be secondary to other diseases (e.g.  LEGG-PERTHES DISEASE; ARTHRITIS; HIP DISLOCATION, CONGENITAL) or TRAUMA.
D000070604	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.
D000070607	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.
D000070617	Microtrauma, Physical	Small injuries caused by external force applied to the body including bones, muscles, nerves and tendons.
D000070624	Brain Contusion	A bruise of the brain from an impact of the skull.
D000070625	Brain Injuries, Diffuse	Brain injuries occurring over a wide area instead of specific focal area.
D000070627	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.
D000070630	Diastasis, Muscle	Abnormal separation of muscles.
D000070631	Diastasis, Bone	Abnormal separation of bones, often from a LIGAMENT.
D000070636	Rotator Cuff Injuries	Injuries to the ROTATOR CUFF of the shoulder joint.
D000070639	Elbow Tendinopathy	Inflammation (tendinitis) or degeneration (tendinosis) of the tendons of the elbow.
D000070642	Brain Injuries, Traumatic	A form of acquired brain injury which occurs when a sudden trauma causes damage to the brain.
D000070656	Rotator Cuff Tear Arthropathy	Rapidly destructive shoulder joint and bone disease found mainly in elderly, and predominantly in women. It is characterized by SHOULDER PAIN; JOINT INSTABILITY; and the presence of crystalline CALCIUM PHOSPHATES in the SYNOVIAL FLUID. It is associated with ROTATOR CUFF INJURIES.
D000070657	Crystal Arthropathies	Joint disorders that are characterized by accumulation of microcrystals in and around the joint including in the SYNOVIAL FLUID. They are classified according to the chemical nature of the crystals such as CALCIUM PYROPHOSPHATE; basic CALCIUM PHOSPHATES; and monosodium urate (see URIC ACID).
D000070676	Enthesopathy	A disorder occurring at the site of insertion of TENDONS or LIGAMENTS into bones or JOINT CAPSULES.
D000070779	Giant Cell Tumor of Tendon Sheath	A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.
D000070896	Bankart Lesions	An anterior capsulolabral injury associated with a tear of the anteroinferior GLENOID LABRUM.
D000071017	Hyperekplexia	A neurological disorder characterized by an excessive startle reaction with ABNORMAL REFLEX;  MYOCLONIC JERKS; and MUSCLE HYPERTONIA.
D000071056	Anorectal Malformations	Congenital defects in the anus and the rectum often involving the urinary and genital tracts.
D000071057	Tardive Dyskinesia	Drug-related movement disorder characterized by uncontrollable movements in certain muscles. It is associated with a long-term exposure to certain neuroleptic medications (e.g., METOCLOPRAMIDE).
D000071064	Alert Fatigue, Health Personnel	Mental fatigue experienced by health care providers who encounter numerous alerts and reminders from the use of CLINICAL DECISION SUPPORT SYSTEMS. As the numbers of alerts and reminders designed to provide meaningful assistance to the patient care process increases, many health personnel may ignore them.
D000071067	Pneumonia, Necrotizing	Severe complication of pneumonia characterized by liquefaction of lung tissue.
D000071069	Multiple Chronic Conditions	Two or more concurrent chronic physical, mental, or behavioral health problems in an individual.
D000071070	Familial Multiple Lipomatosis	A rare autosomal disorder characterized by numerous encapsulated lipomas on the trunk and extremities. The lipomas are usually not painful but can cause pain when growing. In rare cases, one lipoma can become painful and progress to multiple painful lipomas; it is then referred to as Dercum's Disease Type III
D000071071	Microaneurysm	Aneurysm of the MICROVASCULATURE. Charcot–Bouchard aneurysms are aneurysms of the brain vasculature which is a common cause of CEREBRAL HEMORRHAGE. Retinal microaneurysm is an early diagnostic sign of DIABETIC RETINOPATHY.
D000071072	Acute Febrile Encephalopathy	Acute onset of fever accompanied by seizures, cerebral inflammation and a change in mental status (e.g., confusion, disorientation, and coma).
D000071074	Neonatal Sepsis	Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.
D000071075	Small Fiber Neuropathy	Disorder of the peripheral nerves that primarily impair small nerve fibers. The affected small nerve fibers include myelinated A-delta fibers (see A FIBERS) and unmyelinated C FIBERS. Because these small fibers innervate skin and help control autonomic function, their neuropathy presents with neuropathic pain, reduced thermal and pain sensitivity, and autonomic dysfunction (e.g. abnormal sweating or facial flushing). Small fiber neuropathy can be idiopathic or associated with underlying diseases (e.g., AMYLOIDOSIS; DIABETES MELLITUS; SARCOIDOSIS; or VASCULITIS).
D000071078	Stenosis, Pulmonary Vein	Narrowing of the PULMONARY VEIN.
D000071079	Stenosis, Pulmonary Artery	Narrowing of the PULMONARY ARTERIES.
D000071243	Zika Virus Infection	A viral disease transmitted by the bite of AEDES mosquitoes infected with ZIKA VIRUS. Its mild DENGUE-like symptoms include fever, rash, headaches and ARTHRALGIA. The viral infection during pregnancy, in rare cases, is associated with congenital brain and ocular abnormalities, called Congenital Zika Syndrome, including MICROCEPHALY and may also lead to GUILLAIN-BARRE SYNDROME.
D000071257	Emergence Delirium	A form of DELIRIUM which occurs after GENERAL ANESTHESIA.
D000071297	Acute Retroviral Syndrome	Early stage of HIV infection. Symptoms resemble INFLUENZA or INFECTIOUS MONONUCLEOSIS.
D000071298	Body Remains	The physical entity of a deceased human or animal.
D000071378	Bunion	Abnormal swelling of the inner aspect of the first metatarsal head affecting the first METATARSOPHALANGEAL JOINT.
D000071380	Fibromatosis, Plantar	A fibromatosis of the plantar fascia characterized by thickening of the fibrous bands on the plantar aponeurosis in the sole of the foot and toes.
D000071562	Fractures, Avulsion	Tearing away of the CORTICAL BONE fragment at the location of a strong ligament or tendon attachment. The bone fragment detachment site often occurs near a soft site (e.g., GROWTH PLATE) at the base where LIGAMENTS; TENDONS; or JOINT CAPSULES attach. In younger patients it is most often caused by a sudden forceful pull on a tendon in the opposite direction of the bone movement. In the elderly it is associated with osteoporotic INSUFFICIENCY FRACTURES.
D000071576	Crush Injuries	Excessive compression of parts of the body that causes muscle swelling, fracture, and/or neurological disturbances in the affected areas. Crush injury with systemic manifestations is referred to as CRUSH SYNDROME.
D000071697	Cellulite	Skin lumpiness or skin surface dimpling often seen on the thighs, buttocks and abdomen. It is due to protrusion of SUBCUTANEOUS FAT into the DERMIS layer of skin.
D000071698	Latent Autoimmune Diabetes in Adults	Autoimmune diabetes in adults with slowly progressive PANCREATIC BETA CELL failure and the presence of circulating autoantibodies to PANCREATIC ISLETS cell antigens.
D000071699	Bilateral Vestibulopathy	Impairment of the vestibular function of both inner ears which can cause difficulties with balance, gait, VERTIGO, and visual blurring.
D000071700	Cone-Rod Dystrophies	Genetically heterogeneous and sometimes syndromic (e.g., BARDET BIEDL SYNDROME; and SPINOCEREBELLAR ATAXIA TYPE 7) retinopathies with initial RETINAL CONE involvement. They are characterized by decreased VISUAL ACUITY; COLOR VISION DEFECTS; progressive loss of peripheral vision and night blindness.
D000071896	Medically Unexplained Symptoms	Persistent health symptoms which remain unexplained after a complete medical evaluation. A cluster of symptoms that consistently appear together but without a known cause are referred to as a MEDICALLY UNEXPLAINED SYNDROME (MUS).
D000071956	Myocardial Contusions	Bruise to the heart muscle due to blunt thoracic trauma.
D000071960	Breast Carcinoma In Situ	A condition in which abnormal cells have not spread outside the duct, lobule, or nipple to other tissues of the breast. There are 3 types of breast carcinoma in situ: DUCTAL CARCINOMA IN SITU; LOBULAR CARCINOMA IN SITU; and PAGET DISEASE OF THE NIPPLE.
D000072039	Fracture Dislocation	Fracture of a bone near an articulation with concomitant dislocation of that joint.
D000072042	Salter-Harris Fractures	Fractures involving a GROWTH PLATE.
D000072281	Lymphadenopathy	Disease of LYMPH NODES which are abnormal in size, number or consistency.
D000072656	Breast Cancer Lymphedema	Abnormal accumulation of lymph in the arm, shoulder and breast area associated with surgical treatment (e.g., MASTECTOMY) or radiation treatment of breast cancer.
D000072657	ST Elevation Myocardial Infarction	A clinical syndrome defined by MYOCARDIAL ISCHEMIA symptoms; persistent elevation in the ST segments of the ELECTROCARDIOGRAM; and release of BIOMARKERS of myocardial NECROSIS (e.g., elevated TROPONIN levels). ST segment elevation in the ECG is often used in determining the treatment protocol (see also NON-ST ELEVATION MYOCARDIAL INFARCTION).
D000072658	Non-ST Elevated Myocardial Infarction	A myocardial infarction that does not produce elevations in the ST segments of the ELECTROCARDIOGRAM. ST segment elevation of the ECG is often used in determining the treatment protocol (see also ST Elevation Myocardial Infarction).
D000072659	Hypophysitis	Inflammation of the PITUITARY GLAND.
D000072660	Teratozoospermia	Conditions in which sperm show abnormal morphology.
D000072661	Ciliopathies	Genetic disorders caused by defects in genes related to the primary CILIUM; BASAL BODY; or CENTROSOME. Primary features may include obesity, SKELETAL DYSPLASIA; POLYDACTYLY and malformations that primarily involve the liver, eye or kidneys.
D000072662	Margins of Excision	The edges of tissue removed in a surgery for assessment of the effectiveness of a surgical procedure in achieving the local control of a neoplasm and the adequacy of tumor removal. When the margin is negative or not involved by tumor (e.g., CANCER) it suggests all of the tumor has been removed by the surgery.
D000072663	Spontaneous Perforation	A pathological hole in an organ, blood vessel or other soft part of the body, occurring in the absence of external force.
D000072676	Ankyloglossia	A severe congenital restriction of TONGUE movement, resulting from fusion or adherence of the tongue to the floor of the mouth. In partial ankyloglossia (tongue-tie) the LINGUAL FRENUM is abnormally short, or is attached too close to the tip of the tongue. OMIM: 106280
D000072716	Cancer Pain	Pain that may be caused by or related to cellular, tissue, and systemic changes that occur during NEOPLASM growth, tissue invasion, and METASTASIS.
D000072717	Tertiary Lymphoid Structures	Aggregates of immune cells formed near the sites of chronically inflamed, infected, or tumorous tissues.
D000072736	Propofol Infusion Syndrome	Rare and often fatal drug complication which affects patients undergoing long-term treatment with high doses of PROPOFOL. It is characterized by METABOLIC ACIDOSIS; HYPERLIPIDEMIA; RHABDOMYOLYSIS; cardiovascular CIRCULATORY COLLAPSE; CARDIAC FAILURE; and KIDNEY FAILURE.
D000072742	Invasive Fungal Infections	Mycoses which manifest as infections of deep tissue or blood.
D000072836	Surgical Wound	An incision made during a surgical procedure.
D000072837	Chromothripsis	Massive number of chromosomal rearrangements and shattering that occurs in cancer cells. The breakpoints are located within one chromosome or chromosome arm.
D000073296	Noncommunicable Diseases	Diseases which are typically non-infectious in origin and do not transmit from an affected individual to others. The four main types of noncommunicable diseases are CARDIOVASCULAR DISEASES (e.g., heart attacks and stroke), CANCER, chronic respiratory diseases (e.g., CHRONIC OBSTRUCTIVE PULMONARY DISEASE and ASTHMA) and DIABETES MELLITUS.
D000073376	Epileptic Syndromes	EPILEPTIC SEIZURES that are of similar type and age of onset and have other similar features (e.g., clinical course, EEG findings, genetic association and neuropathology).
D000073397	Occupational Stress	Adverse psychological and behavioral reactions caused by the pressures and demands of employers or clients or other factors, such as the physical environment of the workplace, WORKPLACE VIOLENCE; or WORKPLACE BULLYING.
D000073436	Microvascular Rarefaction	The reduction in density of the MICROVASCULATURE.
D000073496	Frailty	A state of increased vulnerability to stressors, following declines in function and reserves across multiple physiologic systems, characterized by MUSCLE WEAKNESS; FATIGUE; slowed motor performance; low physical activity; and unintentional weight loss.
D000073605	Spotted Fever Group Rickettsiosis	A group of arthropod-borne diseases caused by spotted fever bio-group members of RICKETTSIA. They are characterized by fever, headache, and petechial (spotted) rash.
D000073617	Transfusion-Related Acute Lung Injury	A rare but serious transfusion-related reaction in which fluid builds up in the lungs unrelated to excessively high infusion rate and/or volume (TRANSFUSION-ASSOCIATED CIRCULATORY OVERLOAD). Signs of Transfusion-Related Acute Lung Injury include pulmonary secretions; hypotension; fever; DYSPNEA; TACHYPNEA; TACHYCARDIA; and CYANOSIS.
D000073618	Varicella Zoster Virus Infection	Infection caused by HUMAN HERPES VIRUS 3 (e.g., CHICKENPOX and HERPES ZOSTER).
D000073818	Pain, Procedural	Pain associated with examination, treatment or procedures.
D000073839	Trisomy 13 Syndrome	A chromosome disorder associated with TRISOMY of all or part of CHROMOSOME 13. Clinical manifestations include CONGENITAL HEART DEFECTS (e.g., PATENT DUCTUS ARTERIOSUS), facial malformations (e.g., CLEFT LIP; CLEFT PALATE; COLOBOMA; MICROPHTHALMIA); HYPOTONIA, digit malformations (e.g., POLYDACTYLY or SYNDACTYLY), and SEIZURES and severe INTELLECTUAL DISABILITY associated with NERVOUS SYSTEM MALFORMATIONS.
D000073842	Trisomy 18 Syndrome	A chromosome disorder associated with TRISOMY of all or part of CHROMOSOME 18. Clinical manifestations include INTRAUTERINE GROWTH RETARDATION; CLEFT PALATE; CONGENITAL HEART DEFECTS; MICROCEPHALY; MICROGNATHIA and clenched fists with overlapping fingers. Most affected fetuses do not survive to birth. Those who survive through their first year often have severe INTELLECTUAL DISABILITY.
D000073872	Vascular Ring	Congenital vascular malformation in which the AORTA arch and its branches encircle the TRACHEA and ESOPHAGUS. Signs and symptoms include DYSPNEA; RESPIRATORY SOUNDS, especially with eating, DYSPHAGIA, persistent cough, and GASTROESOPHAGEAL REFLUX or may be asymptomatic. Two most common types are double aortic arch and right aortic arch. It may be associated with other anomalies (e.g., DIGEORGE SYNDROME).
D000073923	Food Intolerance	Digestive system disorder where a particular food irritates the digestive tract or cannot be properly digested (i.e., due to a lack of a digestive enzyme). It differs from FOOD HYPERSENSITIVITY which is an immune system disorder, usually due to specific proteins in food.  http://my.clevelandclinic.org/health/articles/problem-foods-is-it-an-allergy-or-intolerance.
D000074009	Tubular Sweat Gland Adenomas	Various tubular forms of benign tumors of the SWEAT GLAND with glandular differentiation. Common types include syringocystadenoma papilliferum of the head and neck, and hidradenoma papilliferum of the vulva area. Hidradenoma papilliferum may be derived from mammary-like glands of the vulva.
D000074021	Interatrial Block	Impaired or delayed impulse conduction between the right and left HEART ATRIA. Advanced interatrial blocks are often associated with arrhythmias (e.g., ATRIAL FLUTTER; and ATRIAL FIBRILLATION), direct conduction block via the Bachmann's bundle and concomitant left atrial enlargement. Syndrome of advanced interatrial block associated with SUPRAVENTRICULAR TACHYCARDIA is referred to as Bayes syndrome.
D000074042	Cerebral Intraventricular Hemorrhage	Bleeding within the CEREBRAL VENTRICLES. It is associated with intraventricular trauma, aneurysm, vascular malformations, hypertension and in VERY LOW BIRTH WEIGHT infants.
D000074079	Undifferentiated Connective Tissue Diseases	Diseases that exhibit signs and symptoms suggestive of a connective tissue disease that do not fulfill clinical or diagnostic criteria for any one defined disease but overlap with criteria of multiple such diseases. Commonly overlapping diseases include systemic autoimmune connective tissue diseases such as RHEUMATOID ARTHRITIS; SYSTEMIC LUPUS ERYTHEMATOSUS; and SYSTEMIC SCLEROSIS.
D000074270	Meconium Ileus	Intestinal obstruction caused by congealed MECONIUM in the distal ILEUM and CECUM. It presents shortly after birth as a failure to pass meconium and frequently occurs in infants with CYSTIC FIBROSIS.
D000074607	Opium Dependence	Strong physiological and emotional dependence on OPIUM.
D000074723	Oncogene Addiction	The dependence of tumor cells on a single oncogenic pathway or protein for their continued proliferation and survival.
D000074742	Median Arcuate Ligament Syndrome	Compression of the CELIAC ARTERY by the median arcuate ligament, a fibrous band of the DIAPHRAGM, causing abdominal pain after eating and weight loss. OMIM: 116870
D000074924	Nut and Peanut Hypersensitivity	Allergic reaction to tree nuts and peanuts, including other LEGUMES, that is triggered by the immune system. It includes co-sensitization to other food (e.g., sesame seed).
D000074962	Kounis Syndrome	A disorder of cardiac function secondary to hypersensitivity reactions. It is characterized by coexistence of acute coronary syndromes and cardiac MAST CELL and PLATELET ACTIVATION. It may be induced by exposure to drugs (e.g., antibiotics, anesthetics, contrast media), food, and environmental triggers (e.g., insect bites and stings, poison ivy).
D000075067	Substance Abuse, Oral	Abuse, overuse, or misuse of a substance by ingestion.
D000075122	Smoldering Multiple Myeloma	An asymptomatic and slow-growing PLASMA CELL dyscrasia characterized by presence of MYELOMA PROTEINS and clonal bone marrow plasma cells without end-organ damage (e.g., renal impairment). It is distinguished from MONOCLONAL GAMMOPATHY OF UNDETERMINED SIGNIFICANCE by a much higher risk of progression to symptomatic MULTIPLE MYELOMA.
D000075222	Essential Hypertension	Hypertension that occurs without known cause, or preexisting renal disease. Associated polymorphisms for a number of genes have been identified, including AGT, GNB3, and ECE1. OMIM: 145500
D000075224	Cardiac Conduction System Disease	Diseases characterized by pathological irregularities in the HEART CONDUCTION SYSTEM. They may be associated with other heart diseases and syndromes (e.g., BRUGADA SYNDROME; NEUROMUSCULAR DISEASE, HEART BLOCKS), isolated or may result from injuries. You can have a conduction disorder without having an arrhythmia, but some arrhythmias arise from conduction disorders. OMIM: 601144.
D000075262	Hypoadrenocorticism, Familial	Hereditary forms of Addison disease that may exhibit autosomal recessive or X-linked  inheritance. They are characterized by severe neurological symptoms, APNEA;  and death in infancy. OMIM: 240200
D000075322	Heavy Metal Poisoning	Poisoning that results from chronic or acute ingestion, injection, inhalation, or skin absorption of HEAVY METALS. Acute and chronic exposures can cause ANEMIA; KIDNEY and LIVER damage; PULMONARY EDEMA; MEMORY LOSS and behavioral changes; bone deformities in children; and MISCARRIAGE or PREMATURE LABOR in pregnant women.
D000075363	Immunoglobulin Light-chain Amyloidosis	A nonproliferative disorder of the PLASMA CELL characterized by excessive production and misfolding of IMMUNOGLOBULIN LIGHT CHAINS that form insoluble amyloid fibrils (see AMYLOID DEPOSITS) in various tissues. Clinical features include LIVER FAILURE; MULTIPLE MYELOMA; NEPHROTIC SYNDROME; RESTRICTIVE CARDIOMYOPATHY, and neuropathies.
D000075529	Solitary Kidney	Either a single or a single functioning kidney due to NEPHRECTOMY, birth defects or other kidney diseases.
D000075562	Charles Bonnet Syndrome	Repetitive visual hallucinations experienced mostly by elderly with diminished visual acuity or visual field loss, with awareness of the fictional nature of their hallucinations. It is not associated with delusions and other sensory hallucinations.
D000075662	Injection Site Reaction	Adverse reactions that occur initially at the site of injection or infusion. Milder type is confined to a local allergic flare reaction. A more severe reaction is caused by extravasation of VESICANTS from the blood vessel at the site of injection and can cause damage to the surrounding tissue. In tumor flare reaction symptoms involve well beyond the injection site such as an increase in the tumor size and tumor markers levels, bone pain, and HYPERCALCEMIA.
D000075902	Clinical Deterioration	A critical disease progression, often measured by a set of clinical parameters, which activates HOSPITAL RAPID RESPONSE TEAM.
D000076042	Alcoholic Korsakoff Syndrome	A neurological disorder characterized by inattentiveness and the inability to form short term memories. It is caused by THIAMINE DEFICIENCY due to chronic ALCOHOLISM.
D000076082	Travel-Related Illness	Health problems associated with TRAVEL.
D000076263	Communicable Diseases, Imported	Infectious diseases originating in one geographically delineated ecosystem that are carried (by travel or immigration) to another geographically delineated ecosystem by an infected individual, animal, or disease vector.
D000076385	Diverticular Diseases	Diseases of the DIVERTICULUM often due to infection and/or inflammation (DIVERTICULITIS).
D000076984	Neonatal Brachial Plexus Palsy	Perinatal nerve injury involving the BRACHIAL PLEXUS involving a weak or paralyzed upper extremity.
D000077162	Neurolymphomatosis	Infiltration of the nervous system by malignant lymphoma cells.
D000077192	Adenocarcinoma of Lung	A carcinoma originating in the lung and the most common lung cancer type in never-smokers. Malignant cells exhibit distinct features such as glandular epithelial, or tubular morphology. Mutations in KRAS, EGFR, BRAF, and ERBB2 genes are associated with this cancer.
D000077195	Squamous Cell Carcinoma of Head and Neck	The most common type of head and neck carcinoma that originates from cells on the surface of the NASAL CAVITY; MOUTH; PARANASAL SINUSES, SALIVARY GLANDS, and LARYNX. Mutations in TNFRSF10B, PTEN, and ING1 genes are associated with this cancer.
D000077207	Chondrosarcoma, Clear Cell	A chondrosarcoma of adolescence to old age of the proximal EPIPHYSES of long bones. It has variably clear cytoplasm of the mostly neoplastic CHONDROCYTES with little intervening matrix.
D000077216	Carcinoma, Ovarian Epithelial	A malignant neoplasm that originates in cells on the surface EPITHELIUM of the ovary and is the most common form of ovarian cancer. There are five histologic subtypes: papillary serous, endometrioid, mucinous, clear cell, and transitional cell. Mutations in BRCA1, OPCML, PRKN, PIK3CA, AKT1, CTNNB1, RRAS2, and CDH1 genes are associated with this cancer.
D000077260	Sleepiness	Compelling urge to sleep.
D000077273	Thyroid Cancer, Papillary	An ADENOCARCINOMA that originates from follicular cells of the THYROID GLAND and accounts for the majority of THYROID CANCER cases. Cells exhibit enlarged, oval, or elongated morphologies with clear, round, nuclei. Fusions of RET, NTRK1, TPM3, and PCM1 genes are associated with this cancer.
D000077274	Nasopharyngeal Carcinoma	A carcinoma that originates in the EPITHELIUM of the NASOPHARYNX and includes four subtypes: keratinizing squamous cell, non-keratinizing, basaloid squamous cell, and PAPILLARY ADENOCARCINOMA. It is most prevalent in Southeast Asian populations and is associated with EPSTEIN-BARR VIRUS INFECTIONS. Somatic mutations associated with this cancer have been identified in NPCR, BAP1, UBAP1, ERBB2, ERBB3, MLL2, PIK3CA, KRAS, NRAS, and ARID1A genes.
